time,gFx,gFy,gFz,TgF
8.920818,-0.2852,0.5494,0.3285,0.70
8.952760,-0.2959,0.5744,0.2288,0.69
8.973878,-0.2759,0.5348,0.2835,0.67
8.999432,-0.2363,0.5521,0.3526,0.70
9.019797,-0.2563,0.5919,0.2864,0.71
9.036442,-0.2724,0.6107,0.2866,0.73
9.053845,-0.2933,0.5914,0.2864,0.72
9.074382,-0.2854,0.5355,0.2534,0.66
9.093529,-0.2673,0.4944,0.2549,0.62
9.119534,-0.2505,0.5231,0.2996,0.65
9.137021,-0.2720,0.5548,0.3169,0.69
9.154271,-0.2918,0.5672,0.2873,0.70
9.174133,-0.3129,0.5518,0.2861,0.70
9.190914,-0.2845,0.5113,0.2893,0.65
9.220155,-0.2938,0.4556,0.3138,0.63
9.236010,-0.2733,0.4302,0.3189,0.60
9.253326,-0.2752,0.4560,0.3123,0.62
9.274908,-0.3040,0.6144,0.2864,0.74
9.289836,-0.3072,0.6560,0.2996,0.78
9.320200,-0.2671,0.5035,0.3536,0.67
9.337570,-0.2671,0.4756,0.3399,0.64
9.354562,-0.2759,0.4930,0.3177,0.65
9.374423,-0.2764,0.5325,0.3192,0.68
9.388895,-0.2644,0.5066,0.3529,0.67
9.420726,-0.2341,0.4353,0.4133,0.64
9.437705,-0.2437,0.4136,0.3979,0.62
9.453976,-0.2290,0.3801,0.3619,0.57
9.475115,-0.2004,0.3768,0.3490,0.55
9.504185,-0.1782,0.3740,0.4264,0.59
9.520615,-0.2234,0.4922,0.4848,0.73
9.537894,-0.3145,0.6523,0.5723,0.92
9.555391,-0.4008,0.7493,0.6063,1.04
9.575330,-0.3896,0.7198,0.5963,1.01
9.604323,-0.2627,0.5837,0.5934,0.87
9.621686,-0.2463,0.6413,0.6718,0.96
9.637881,-0.2720,0.7987,0.6481,1.06
9.654584,-0.3519,0.9626,0.7106,1.25
9.675460,-0.3900,0.8481,0.6606,1.14
9.704785,-0.3481,0.7214,0.6337,1.02
9.721738,-0.2285,0.5211,0.5676,0.80
9.738212,-0.1699,0.4861,0.5574,0.76
9.755391,-0.1093,0.3069,0.5652,0.65
9.775885,-0.0809,0.4197,0.5655,0.71
9.794730,-0.0491,0.3519,0.5431,0.65
9.821778,-0.1212,0.4187,0.5934,0.74
9.838935,-0.1784,0.4668,0.5669,0.76
9.855209,-0.2077,0.4231,0.6014,0.76
9.875555,-0.2126,0.3696,0.6617,0.79
9.905419,-0.2090,0.3874,0.7370,0.86
9.921766,-0.2111,0.4329,0.7593,0.90
9.938658,-0.1901,0.4314,0.7241,0.86
9.955660,-0.2143,0.3671,0.7722,0.88
9.976651,-0.2248,0.3510,0.7656,0.87
10.004904,-0.2302,0.2581,0.7321,0.81
10.023561,-0.2046,0.1880,0.7493,0.80
10.039648,-0.1601,0.1513,0.7668,0.80
10.057506,-0.1337,0.1335,0.7945,0.82
10.078144,-0.1246,0.1382,0.8055,0.83
10.104315,-0.1481,0.1273,0.8145,0.84
10.124884,-0.1498,0.1130,0.7931,0.81
10.141401,-0.1569,0.0904,0.7862,0.81
10.173909,-0.1561,0.1244,0.8011,0.83
10.208875,-0.1481,0.1056,0.7615,0.78
10.209069,-0.1481,0.1056,0.7615,0.78
10.222104,-0.1347,0.2092,0.7901,0.83
10.257091,-0.0980,0.0071,0.7710,0.78
10.294026,-0.1606,0.0716,0.7717,0.79
10.294352,-0.1606,0.0716,0.7717,0.79
10.306137,-0.1906,0.0724,0.7850,0.81
10.324034,-0.2107,0.0790,0.7933,0.82
10.358676,-0.1972,0.0443,0.6780,0.71
10.378561,-0.2207,0.0436,0.6586,0.70
10.410682,-0.2219,0.0753,0.7596,0.79
10.411302,-0.2219,0.0753,0.7596,0.79
10.423579,-0.2293,0.1007,0.7989,0.84
10.458090,-0.3169,0.3109,0.7974,0.91
10.479020,-0.3658,0.3810,0.7615,0.93
10.513516,-0.2815,0.3363,0.7190,0.84
10.514496,-0.2720,0.3424,0.7023,0.83
10.540603,-0.2302,0.3512,0.7491,0.86
10.556677,-0.1738,0.4011,0.7530,0.87
10.578606,-0.1913,0.5360,0.7419,0.94
10.591255,-0.3588,0.5084,0.6540,0.90
10.623749,-0.2989,0.5648,0.4958,0.81
10.640868,-0.4005,0.5348,0.4765,0.82
10.673309,-0.2377,0.7906,0.3120,0.88
10.694597,-0.3089,0.8295,0.2179,0.91
10.712307,-0.4450,0.7826,0.2710,0.94
10.740693,-0.3355,0.6983,0.3560,0.85
10.757020,-0.3502,0.6787,0.3949,0.86
10.778162,-0.2955,0.6780,0.3639,0.82
10.795569,-0.2619,0.6753,0.2065,0.75
10.807636,-0.2728,0.7049,0.1481,0.77
10.825873,-0.4001,0.7471,0.1139,0.86
10.857698,-0.3747,0.7102,0.2008,0.83
10.875006,-0.4778,0.7061,0.2449,0.89
10.895686,-0.3742,0.6592,0.2938,0.81
10.913587,-0.3756,0.6308,0.2727,0.78
