time,gFx,gFy,gFz,TgF
8.947018,-0.1371,0.7044,0.2889,0.77
8.985187,-0.2935,0.6690,0.2539,0.77
9.018654,-0.3341,0.5783,0.1931,0.70
9.019683,-0.3326,0.5663,0.1913,0.68
9.030040,-0.3143,0.5196,0.2299,0.65
9.048765,-0.2724,0.4560,0.3164,0.62
9.086578,-0.1855,0.4267,0.3226,0.57
9.119507,-0.2143,0.3437,0.3859,0.56
9.120192,-0.2143,0.3437,0.3859,0.56
9.131742,-0.2305,0.3514,0.4186,0.59
9.164712,-0.1833,0.4157,0.3742,0.59
9.186124,-0.2014,0.4365,0.3609,0.60
9.219374,-0.2163,0.4429,0.3898,0.63
9.220337,-0.2131,0.4467,0.3937,0.63
9.248451,-0.1943,0.4705,0.3956,0.64
9.265043,-0.2236,0.4411,0.3964,0.63
9.285901,-0.2419,0.4387,0.4255,0.66
9.323054,-0.2749,0.4460,0.4594,0.70
9.323990,-0.2779,0.4460,0.4674,0.70
9.348213,-0.3104,0.4243,0.5261,0.74
9.364959,-0.3082,0.4355,0.5373,0.76
9.386718,-0.3304,0.5269,0.5002,0.80
9.419715,-0.3679,0.5863,0.4795,0.84
9.431452,-0.3788,0.5770,0.5224,0.87
9.448778,-0.4035,0.6161,0.5953,0.95
9.464654,-0.3642,0.8170,0.5376,1.04
9.487340,-0.4623,1.0064,0.5022,1.22
9.520152,-0.2803,0.9165,0.4184,1.05
9.532278,-0.1779,0.6408,0.3973,0.77
9.550167,-0.1535,0.4837,0.4127,0.65
9.565035,-0.1545,0.5113,0.2756,0.60
9.586887,-0.2789,0.6389,0.0974,0.70
9.621139,-0.3488,0.6159,-0.0121,0.71
9.631878,-0.3465,0.5320,0.0443,0.64
9.650066,-0.2764,0.4241,0.1398,0.53
9.665778,-0.1997,0.4164,0.1997,0.50
9.687162,-0.1322,0.4927,0.2684,0.58
9.722389,-0.2074,0.6156,0.2776,0.71
9.732912,-0.2358,0.5907,0.2771,0.69
9.749013,-0.2671,0.5758,0.2243,0.67
9.770420,-0.3187,0.5592,0.1188,0.65
9.805868,-0.3500,0.4900,0.0745,0.61
9.815438,-0.3871,0.4465,0.1085,0.60
9.831914,-0.3419,0.4509,0.1398,0.58
9.849385,-0.3759,0.4532,0.1904,0.62
9.889320,-0.2681,0.4922,0.2512,0.61
9.921413,-0.2373,0.5509,0.2940,0.67
9.922223,-0.2373,0.5509,0.2940,0.67
9.932000,-0.2400,0.5741,0.2593,0.67
9.951299,-0.2931,0.6007,0.1647,0.69
9.987293,-0.3258,0.5558,0.1342,0.66
10.021400,-0.2969,0.5968,0.1281,0.68
10.022148,-0.2969,0.5968,0.1281,0.68
10.033304,-0.2842,0.6105,0.1363,0.69
10.065879,-0.2815,0.5781,0.1717,0.67
10.087539,-0.3069,0.5418,0.1468,0.64
10.124099,-0.3917,0.5206,0.0348,0.65
10.124726,-0.3917,0.5206,0.0348,0.65
10.149340,-0.4563,0.5169,0.0297,0.69
10.166303,-0.4963,0.5177,0.0869,0.72
10.186515,-0.4714,0.5282,0.1778,0.73
10.216624,-0.3602,0.5511,0.1026,0.67
10.232739,-0.3229,0.6892,0.0035,0.76
10.250203,-0.4187,0.8278,-0.0183,0.93
10.266877,-0.4306,0.9038,0.0492,1.00
10.288128,-0.3444,1.0169,0.1694,1.09
10.326447,-0.1723,0.9742,0.2087,1.01
10.327056,-0.1723,0.9742,0.2087,1.01
10.349768,-0.0482,0.7713,0.2971,0.83
10.367129,-0.0024,0.6865,0.3331,0.76
